T,Conductivity [Wm^-1K^-1]
3.6,6.96E-03
3.9,7.55E-03
4.2,8.12E-03
4.5,8.68E-03
4.8,9.23E-03
5,9.59E-03
5.1,9.77E-03
5.3,1.01E-02
5.5,1.05E-02
6,1.13E-02
6.5,1.21E-02
7,1.28E-02
8,1.42E-02
9,1.55E-02
10,1.67E-02
12,1.88E-02
15,2.18E-02
20,2.61E-02
25,3.00E-02
30,3.36E-02
40,4.04E-02
50,4.66E-02
60,5.25E-02
80,6.34E-02
100,7.36E-02
120,8.33E-02
140,9.24E-02
160,0.1012
180,0.1097
200,0.1179
220,0.1259
240,0.1337
260,0.1412
280,0.1486
300,0.1559
350,0.1735
400,0.1903
500,0.2222
600,0.2523
700,0.281
800,0.3085
900,0.3349
1000,0.3605
1100,0.3854
1200,0.4096
1300,0.4332
1400,0.4563
1500,0.4789
